"table_name","column_name","data_type","is_nullable","column_default","primary_key","foreign_key"
"comment_vote_counts","comment_id","uuid","YES","null","",""
"comment_vote_counts","upvotes","bigint","YES","null","",""
"comment_vote_counts","downvotes","bigint","YES","null","",""
"comment_vote_counts","score","bigint","YES","null","",""
"comment_votes","id","uuid","NO","uuid_generate_v4()","PK",""
"comment_votes","comment_id","uuid","NO","null","","FK -> comments.id"
"comment_votes","user_id","uuid","NO","null","","FK -> users.id"
"comment_votes","vote_type","USER-DEFINED","NO","null","",""
"comment_votes","created_at","timestamp with time zone","YES","now()","",""
"comments","id","uuid","NO","uuid_generate_v4()","PK",""
"comments","user_id","uuid","NO","null","","FK -> users.id"
"comments","post_id","uuid","NO","null","","FK -> posts.id"
"comments","parent_id","uuid","YES","null","","FK -> comments.id"
"comments","content","text","NO","null","",""
"comments","created_at","timestamp with time zone","YES","now()","",""
"comments","updated_at","timestamp with time zone","YES","now()","",""
"conversation_participants","id","uuid","NO","uuid_generate_v4()","PK",""
"conversation_participants","conversation_id","uuid","NO","null","","FK -> conversations.id"
"conversation_participants","user_id","uuid","NO","null","","FK -> users.id"
"conversation_participants","created_at","timestamp with time zone","YES","now()","",""
"conversations","id","uuid","NO","uuid_generate_v4()","PK",""
"conversations","name","character varying","YES","null","",""
"conversations","is_group","boolean","YES","false","",""
"conversations","created_at","timestamp with time zone","YES","now()","",""
"conversations","updated_at","timestamp with time zone","YES","now()","",""
"feed_posts","id","uuid","YES","null","",""
"feed_posts","user_id","uuid","YES","null","",""
"feed_posts","content","text","YES","null","",""
"feed_posts","privacy_level","USER-DEFINED","YES","null","",""
"feed_posts","group_id","uuid","YES","null","",""
"feed_posts","created_at","timestamp with time zone","YES","null","",""
"feed_posts","updated_at","timestamp with time zone","YES","null","",""
"feed_posts","search_vector","tsvector","YES","null","",""
"feed_posts","username","character varying","YES","null","",""
"feed_posts","avatar_url","text","YES","null","",""
"friendships","id","uuid","NO","uuid_generate_v4()","PK",""
"friendships","user_id","uuid","NO","null","","FK -> users.id"
"friendships","friend_id","uuid","NO","null","","FK -> users.id"
"friendships","status","USER-DEFINED","YES","'pending'::friendship_status","",""
"friendships","created_at","timestamp with time zone","YES","now()","",""
"friendships","updated_at","timestamp with time zone","YES","now()","",""
"group_members","id","uuid","NO","uuid_generate_v4()","PK",""
"group_members","group_id","uuid","NO","null","","FK -> groups.id"
"group_members","user_id","uuid","NO","null","","FK -> users.id"
"group_members","role","USER-DEFINED","YES","'member'::member_role","",""
"group_members","created_at","timestamp with time zone","YES","now()","",""
"groups","id","uuid","NO","uuid_generate_v4()","PK",""
"groups","name","character varying","NO","null","",""
"groups","description","text","YES","null","",""
"groups","privacy","USER-DEFINED","YES","'public'::group_privacy","",""
"groups","created_at","timestamp with time zone","YES","now()","",""
"groups","updated_at","timestamp with time zone","YES","now()","",""
"likes","id","uuid","NO","uuid_generate_v4()","PK",""
"likes","user_id","uuid","NO","null","","FK -> users.id"
"likes","post_id","uuid","YES","null","","FK -> posts.id"
"likes","comment_id","uuid","YES","null","","FK -> comments.id"
"likes","created_at","timestamp with time zone","YES","now()","",""
"media","id","uuid","NO","uuid_generate_v4()","PK",""
"media","post_id","uuid","YES","null","","FK -> posts.id"
"media","message_id","uuid","YES","null","","FK -> messages.id"
"media","url","text","NO","null","",""
"media","media_type","USER-DEFINED","NO","null","",""
"media","order_index","integer","YES","0","",""
"media","created_at","timestamp with time zone","YES","now()","",""
"media","cloudflare_id","text","YES","null","",""
"media","processing_status","text","YES","'pending'::text","",""
"media","variants","jsonb","YES","null","",""
"media","user_id","uuid","YES","null","",""
"media","media_category","text","YES","'post'::text","",""
"messages","id","uuid","NO","uuid_generate_v4()","PK",""
"messages","conversation_id","uuid","NO","null","","FK -> conversations.id"
"messages","user_id","uuid","NO","null","","FK -> users.id"
"messages","content","text","NO","null","",""
"messages","read","boolean","YES","false","",""
"messages","created_at","timestamp with time zone","YES","now()","",""
"notifications","id","uuid","NO","uuid_generate_v4()","PK",""
"notifications","user_id","uuid","NO","null","","FK -> users.id"
"notifications","type","USER-DEFINED","NO","null","",""
"notifications","content","text","NO","null","",""
"notifications","icon","text","YES","null","",""
"notifications","actor_id","uuid","NO","null","","FK -> users.id"
"notifications","resource_id","uuid","NO","null","",""
"notifications","resource_type","character varying","NO","null","",""
"notifications","read","boolean","YES","false","",""
"notifications","created_at","timestamp with time zone","YES","now()","",""
"post_like_counts","post_id","uuid","NO","null","PK","FK -> posts.id"
"post_like_counts","count","integer","NO","0","",""
"post_share_counts","post_id","uuid","NO","null","PK","FK -> posts.id"
"post_share_counts","count","integer","NO","0","",""
"posts","id","uuid","NO","uuid_generate_v4()","PK",""
"posts","user_id","uuid","NO","null","","FK -> users.id"
"posts","content","text","YES","null","",""
"posts","privacy_level","USER-DEFINED","YES","'public'::privacy_level","",""
"posts","group_id","uuid","YES","null","","FK -> groups.id"
"posts","created_at","timestamp with time zone","YES","now()","",""
"posts","updated_at","timestamp with time zone","YES","now()","",""
"posts","search_vector","tsvector","YES","null","",""
"posts","shared_post_id","uuid","YES","null","","FK -> posts.id"
"user_hidden_posts","user_id","uuid","NO","null","PK","FK -> users.id"
"user_hidden_posts","post_id","uuid","NO","null","PK","FK -> posts.id"
"user_hidden_posts","hidden_at","timestamp with time zone","YES","now()","",""
"user_profile_posts","id","uuid","YES","null","",""
"user_profile_posts","user_id","uuid","YES","null","",""
"user_profile_posts","content","text","YES","null","",""
"user_profile_posts","privacy_level","USER-DEFINED","YES","null","",""
"user_profile_posts","group_id","uuid","YES","null","",""
"user_profile_posts","created_at","timestamp with time zone","YES","null","",""
"user_profile_posts","updated_at","timestamp with time zone","YES","null","",""
"user_profile_posts","search_vector","tsvector","YES","null","",""
"user_profile_posts","like_count","bigint","YES","null","",""
"user_profile_posts","comment_count","bigint","YES","null","",""
"user_saved_posts","user_id","uuid","NO","null","PK","FK -> users.id"
"user_saved_posts","post_id","uuid","NO","null","PK","FK -> posts.id"
"user_saved_posts","saved_at","timestamp with time zone","YES","now()","",""
"users","id","uuid","NO","uuid_generate_v4()","PK",""
"users","email","character varying","NO","null","",""
"users","username","character varying","NO","null","",""
"users","full_name","character varying","NO","null","",""
"users","avatar_url","text","YES","null","",""
"users","bio","text","YES","null","",""
"users","theme","USER-DEFINED","YES","'light'::theme_option","",""
"users","privacy_settings","jsonb","YES","'{"posts_visibility": "public", "profile_visibility": "public"}'::jsonb","",""
"users","created_at","timestamp with time zone","YES","now()","",""
"users","updated_at","timestamp with time zone","YES","now()","",""